HSR,Reverse,Spectrum,Subfactor,Scale,Subscale,Text,Original
1,FALSE,Detachment,NA,Social Aloofness,NA,I preferred to stay home than to go to a party.,HiTOP_659
2,FALSE,Externalizing,Anankastia,Perfectionism,NA,I felt that my work must be flawless.,HiTOP_301
3,FALSE,Thought Disorder,NA,Reality Distortion,Hallucinations,I saw things that were not really there.,HiTOP_596
4,FALSE,Internalizing,Fear,Trichotillomania,NA,I was embarrassed because I pulled my hair.,HiTOP_383
5,FALSE,Internalizing,Eating Pathology,Food Selectivity,NA,I avoided foods because I did not like their appearance,HiTOP_81
6,FALSE,Internalizing,Fear,Panic,NA,I felt dizzy or lightheaded.,HiTOP_288
7,FALSE,Externalizing,Antagonism,Dishonesty,Deceitfulness,I believed it was fine to tell a little lie in order to get out of trouble.,Ext_432
8,FALSE,Thought Disorder,NA,Mistrust,Cynicism,Most people were just out for themselves.,Ext_79
9,FALSE,Internalizing,Fear,Hoarding,NA,My home was so cluttered that it was difficult to get around.,HiTOP_256
10,FALSE,Somatoform,NA,Bodily Distress,NA,I had pains in several parts of my body.,HiTOP_449
11,FALSE,Internalizing,Distress,Distress-Dysphoria,Depressed Mood,I felt down and discouraged.,exp9
12,FALSE,Detachment,NA,Social Anxiety,NA,I was uncomfortable meeting new people.,HiTOP_348
13,FALSE,Externalizing,Disinhibition,Gambling,NA,I was unable to resist the impulse to gamble.,Ext_20
14,FALSE,Externalizing,Antagonism,Dishonesty,Manipulativeness,I found it easy to manipulate others.,Ext_262
15,FALSE,Externalizing,Disinhibition,Non-planfulness,NA,I made decisions quickly without thinking them through.,Ext_102
16,FALSE,Internalizing,Eating Pathology,Body Focus,NA,I spent a lot of time looking at myself.,HiTOP_208
17,FALSE,Internalizing,Fear,Cleaning,NA,It was difficult for me to touch something that was dirty.,HiTOP_221
18,FALSE,Externalizing,Anankastia,Rigidity,NA,"I refused to budge as a matter of principle, even on small matters.",Ext_73
19,FALSE,Externalizing,Antisocial,Oppositionality,NA,Life felt too short to follow other peoples' rules.,Ext_230
20,FALSE,Internalizing,Distress,Distress-Dysphoria,Shame/Guilt,I blamed myself for things.,HiTOP_334
21,FALSE,Thought Disorder,NA,Mistrust,Suspiciousness,I was very suspicious of other people.,HiTOP_661
22,FALSE,Externalizing,Anankastia,Risk Aversion,NA,I was very cautious about taking risks.,HiTOP_37
23,FALSE,Internalizing,Sexual Problems,Sexual Distress,NA,I felt sexually inadequate.,HiTOP_430
24,FALSE,Detachment,NA,Restricted Affectivity,NA,I hardly showed any feelings.,HiTOP_29
25,FALSE,Externalizing,Antagonism,Grandiosity,NA,Most people would have liked to be like me.,Ext_441
26,FALSE,Internalizing,Distress,Emotionality,Angry Hostility,I got so angry that I yelled or screamed.,Ext_323
27,FALSE,Internalizing,Sexual Problems,Low Sexual Interest,NA,I felt little desire for sexual activity,HiTOP_400
28,FALSE,Detachment,NA,Social Anxiety,NA,I avoided performing or giving a talk in front of others.,HiTOP_349
29,FALSE,Externalizing,Disinhibition,Gambling,NA,It was hard to stop gambling once I started.,Ext_210
30,FALSE,Somatoform,NA,Bodily Distress,NA,"I was bothered by stomach symptoms (diarrhea, nausea, stomach pain etc.)",HiTOP_452
31,FALSE,Externalizing,Antagonism,Social Aggression,NA,I taunted others.,Ext_74
32,FALSE,Externalizing,Disinhibition,Restlessness,NA,I felt restless when I had to sit still for more than ten minutes.,Ext_229
33,FALSE,Internalizing,Distress,Insomnia,NA,I had trouble falling asleep.,HiTOP_274
34,FALSE,Externalizing,Antagonism,Callousness,NA,Some people thought I was uncaring and unfeeling.,Ext_5
35,FALSE,Externalizing,Antagonism,Domineering,NA,I was the dominant person in my relationships.,HiTOP_23
36,FALSE,Externalizing,Disinhibition,Problematic Shopping,NA,I bought much more than I needed.,Ext_281
37,FALSE,Internalizing,Fear,Trichotillomania,NA,I felt an urge to pull my hair.,HiTOP_385
38,FALSE,Thought Disorder,NA,Fantasy Proneness,NA,I wished I lived in my fantasies instead of real life.,HiTOP_584
39,FALSE,Internalizing,Sexual Problems,Paraphilias,NA,My sexual fantasies strained my relationships.,Ext_205
40,FALSE,Externalizing,Disinhibition,Non-planfulness,NA,I did something spontaneous that I later regretted.,Ext_476
41,FALSE,Internalizing,Distress,Suicidality,NA,I worked on a plan to kill myself.,HiTOP_358
42,FALSE,Detachment,NA,Romantic Disinterest,NA,I felt that I did not want to be in a close relationship.,HiTOP_624
43,FALSE,Internalizing,Eating Pathology,Body Dissatisfaction,NA,I wished I could change certain parts of my body.,HiTOP_206
44,FALSE,Detachment,NA,Well-being,NA,I felt motivated.,HiTOP_632
45,FALSE,Detachment,NA,Social Aloofness,NA,"When I had the chance, I chose to be alone rather than with other people.",HiTOP_50
46,FALSE,Internalizing,Distress,NSSI,NA,"I felt an urge to hurt myself (cut, burn, bite, etc.).",Ext_468
47,FALSE,Somatoform,NA,Health Anxiety,NA,I worried a lot about my health.,HiTOP_488
48,FALSE,Internalizing-Thought Disorder,NA,Manic Energy,NA,Others noticed that I was unusually excited or up.,HiTOP_239
49,FALSE,Thought Disorder,NA,Eccentricity,NA,People told me that I was being inappropriate.,HiTOP_567
50,FALSE,Internalizing,Sexual Problems,Sexual Distress,NA,I was unhappy about my sexual performance.,HiTOP_431
51,FALSE,Thought Disorder,NA,Reality Distortion,Hallucinations,I experienced strange sights or sounds.,HiTOP_594
52,FALSE,Externalizing,Antagonism,Domineering,NA,I liked having power.,Ext_50
53,FALSE,Internalizing,Distress,Cognitive Problems,NA,I had trouble remembering things.,HiTOP_231
54,FALSE,Internalizing,Sexual Problems,Risky Sex,NA,"I used sex to relieve negative feelings (e.g., anxiety, sadness, anger).",Ext_70
55,FALSE,Detachment,NA,Social Aloofness,NA,Interacting with others was not very important to me.,HiTOP_626
56,FALSE,Externalizing,Disinhibition,Non-persistence,NA,I quit tasks that became too challenging.,Ext_256
57,FALSE,Detachment,NA,Submissiveness,NA,I allowed people to take advantage of me.,exp26
58,FALSE,Externalizing,Antagonism,Entitlement,NA,I was selfish.,Ext_136
59,FALSE,Externalizing,Antagonism,Domineering,NA,I liked being the person who has the authority.,HiTOP_18
60,FALSE,Internalizing,Fear,Counting,NA,I needed to count to a certain number before starting an activity.,HiTOP_238
61,FALSE,Internalizing,Fear,Specific Phobia Index,Animal-Insect Phobia,I was fearful of rats or mice.,HiTOP_182
62,FALSE,Externalizing,Anankastia,Rigidity,NA,"I continued to do things the same way, even though my approach clearly wasn't working.",HiTOP_305
63,FALSE,Externalizing,Antagonism,Entitlement,NA,I expected to get treated better than others.,Ext_370
64,FALSE,Internalizing,Distress,Distress-Dysphoria,Anhedonia,I didn't get excited about very much.,HiTOP_508
65,FALSE,Internalizing,Eating Pathology,Food Selectivity,NA,People told me that I was a very picky eater.,HiTOP_77
66,FALSE,Internalizing,Fear,Agoraphobia,NA,"I was afraid that I would have a panic attack in a small, tight, or enclosed space.",HiTOP_161
67,FALSE,Internalizing,Eating Pathology,Body Dissatisfaction,NA,I couldn't stop comparing my body to those of others.,HiTOP_105
68,FALSE,Externalizing,Antisocial,Antisocial Behavior,NA,I stole from someone I knew without their knowledge.,Ext_369
69,FALSE,Detachment,NA,Social Anxiety,NA,I had difficulty making eye contact with others.,HiTOP_345
70,FALSE,Internalizing,Eating Pathology,Excessive Exercise,NA,I had to cancel plans in order to get my exercise in.,HiTOP_123
71,FALSE,Internalizing,Sexual Problems,Low Sexual Interest,NA,I had little or no interest in sexual activity.,HiTOP_399
72,FALSE,Externalizing,Antagonism,Domineering,NA,It was very important for me to take the lead.,HiTOP_17
73,FALSE,Internalizing,Fear,Excoriation,NA,My skin picking created problems for me.,HiTOP_246
74,FALSE,Externalizing,Anankastia,Workaholism,NA,I was so focused on being productive that I had less time for friends and family.,Ext_371
75,FALSE,Externalizing,Antagonism,Dishonesty,Deceitfulness,I lied about myself to other people.,Ext_444
76,FALSE,Internalizing,Distress,Nightmares,NA,I had a dream so distressing that it continued to affect me after waking.,HiTOP_279
77,FALSE,Internalizing-Thought Disorder,NA,Manic Energy,NA,I was much more talkative than usual.,HiTOP_243
78,FALSE,Internalizing,Eating Pathology,Muscle Building,NA,I used medicines or supplements to bulk up.,HiTOP_133
79,FALSE,Internalizing,Eating Pathology,Body Focus,NA,"If I passed by a reflective surface (like a window), I checked how I looked.",HiTOP_210
80,FALSE,Thought Disorder,NA,Fantasy Proneness,NA,My imagination held my attention for hours.,HiTOP_586
81,FALSE,Thought Disorder,NA,Fantasy Proneness,NA,I was prone to daydreaming.,HiTOP_582
82,FALSE,Internalizing,Sexual Problems,Difficulties Reaching Orgasm,NA,I was unable to reach orgasm.,HiTOP_397
83,FALSE,Internalizing,Eating Pathology,Restricted Eating,NA,I skipped two meals in a row.,HiTOP_148
84,FALSE,Externalizing,Anankastia,Perfectionism,NA,My desire for things to be flawless kept me from getting everything done.,Ext_500
85,FALSE,Externalizing,Antagonism,Grandiosity,NA,I was very confident in myself around other people.,Ext_498
86,FALSE,Detachment,NA,Social Aloofness,NA,I did not feel like spending time with people.,HiTOP_649
87,FALSE,Internalizing,Sexual Problems,Premature Orgasm,NA,I was unable to control when I reached orgasm.,HiTOP_415
88,FALSE,Externalizing,Disinhibition,Non-persistence,NA,I became disinterested in tasks easily.,Ext_297
89,FALSE,Detachment,NA,Well-being,NA,I felt cheerful.,HiTOP_392
90,FALSE,Detachment,NA,Social Anxiety,NA,I got anxious when others were watching me.,HiTOP_355
91,FALSE,Thought Disorder,NA,Reality Distortion,Delusions,I thought I was the only one chosen by God for a special role.,HiTOP_534
92,FALSE,Internalizing,Eating Pathology,Excessive Exercise,NA,I exercised when I was injured.,HiTOP_121
93,FALSE,Internalizing,Fear,Panic,NA,My heart was racing or pounding.,HiTOP_290
94,FALSE,Internalizing,Fear,Trauma Reactions,NA,My mind was flooded with troubling images of a bad experience.,HiTOP_378
95,FALSE,Externalizing,Antagonism,Entitlement,NA,I deserved special treatment.,Ext_175
96,FALSE,Externalizing,Disinhibition,Disorganization,NA,I missed appointments because I forgot about them.,Ext_442
97,FALSE,Externalizing,Disinhibition,Risk Taking,NA,People would describe me as a risk-taker.,Ext_495
98,FALSE,Externalizing,Disinhibition,Gaming,NA,I turned down social invitations so that I could spend more time gaming.,Ext_350
99,FALSE,Somatoform,NA,Conversion Symptoms,NA,I was troubled by unexplained seizures or convulsions.,HiTOP_463
100,FALSE,Internalizing,Distress,Distress-Dysphoria,Depressed Mood,I felt hopeless about the future.,exp12
101,FALSE,Internalizing,Eating Pathology,Dietary Restraint,NA,I tried to eat fewer snacks.,HiTOP_114
102,FALSE,Internalizing,Fear,Specific Phobia Index,Animal-Insect Phobia,I was afraid of spiders.,HiTOP_181
103,FALSE,Externalizing,Disinhibition,Risk Taking,NA,Taking risks made me feel alive.,HiTOP_63
104,FALSE,Externalizing,Antisocial,Oppositionality,NA,"I enjoyed rebelling against authority figures (e.g., police, teachers, bosses).",Ext_121
105,FALSE,Internalizing,Fear,Hoarding,NA,I found it difficult to throw things away.,exp24
106,FALSE,Internalizing,Distress,Emotionality,Irritability,Minor frustrations really upset me.,exp7
107,FALSE,Thought Disorder,NA,Eccentricity,NA,I said unusual things.,HiTOP_564
108,FALSE,Internalizing,Eating Pathology,Dietary Restraint,NA,I tried to eat only healthy foods.,HiTOP_107
109,FALSE,Internalizing,Fear,Agoraphobia,NA,I was afraid of getting trapped in a crowd.,HiTOP_157
110,FALSE,Internalizing,Fear,Checking,NA,I had a nagging doubt that I'd failed to do something important.,HiTOP_216
111,FALSE,Internalizing,Distress,Emotionality,Angry Hostility,I got angry about small things.,Ext_193
112,FALSE,Externalizing,Anankastia,Workaholism,NA,People told me that I work too much.,Ext_99
113,FALSE,Somatoform,NA,Conversion Symptoms,NA,I had periods of unexplained deafness.,HiTOP_461
114,FALSE,Internalizing,Sexual Problems,Premature Orgasm,NA,"During sex, I consciously tried to delay orgasm so I could last longer.",exp23
115,FALSE,Somatoform,NA,Bodily Distress,NA,I felt something was wrong with my body.,HiTOP_451
116,FALSE,Thought Disorder,NA,Reality Distortion,Delusions,I could control things with my mind.,HiTOP_527
117,FALSE,Internalizing,Fear,Hypervigilance,NA,I was watchful for danger.,HiTOP_372
118,FALSE,Internalizing,Fear,Agoraphobia,NA,"I felt like I would be unable to breathe in a small, tight, or enclosed space.",HiTOP_156
119,FALSE,Externalizing,Antisocial,Oppositionality,NA,I didn't pay much attention to social standards of behavior.,Ext_396
120,FALSE,Internalizing,Sexual Problems,Paraphilias,NA,"I found sexual activity with someone unconscious (e.g., asleep or passed out from alcohol or a drug) sexually arousing.",HiTOP_410
121,FALSE,Internalizing,Fear,Hoarding,NA,I collected things I did not need.,exp25
122,FALSE,Detachment,NA,Submissiveness,NA,I had a hard time asserting myself to others.,HiTOP_69
123,FALSE,Detachment,NA,Restricted Affectivity,NA,People told me that I do not show emotions.,HiTOP_610
124,FALSE,Internalizing,Sexual Problems,Difficulties Reaching Orgasm,NA,I reached orgasm later than I wanted to.,HiTOP_398
125,FALSE,Internalizing,Distress,Emotionality,Angry Hostility,My temper scared people.,Ext_89
126,FALSE,Thought Disorder,NA,Eccentricity,NA,Many people thought that my behavior was really strange.,HiTOP_560
127,FALSE,Internalizing,Fear,Hypervigilance,NA,I was easily startled.,HiTOP_369
128,FALSE,Externalizing,Disinhibition,Gaming,NA,My mood was negatively affected when I was unable to game as long as I wanted.,Ext_65
129,FALSE,Internalizing,Fear,Hoarding,NA,My compulsive buying caused me financial problems.,HiTOP_259
130,FALSE,Thought Disorder,NA,Reality Distortion,Delusions,"I thought it may be possible for other people to read my mind, or for me to read other's minds.",HiTOP_531
131,FALSE,Internalizing,Sexual Problems,Sex-Related Substance Use,NA,I used substances during sex to encourage my partner to use substances too.,HiTOP_427
132,FALSE,Detachment,NA,Well-being,NA,I felt good about myself.,HiTOP_395
133,FALSE,Somatoform,NA,Bodily Distress,NA,I experienced chest pain.,HiTOP_455
134,FALSE,Internalizing,Fear,Hoarding,NA,I kept items that I did not need.,HiTOP_261
135,FALSE,Internalizing,Distress,Emotionality,Irritability,I was easily annoyed.,exp4
136,FALSE,Internalizing,Fear,Panic,NA,I was so worked up I thought I might die.,HiTOP_299
137,FALSE,Somatoform,NA,Disease Conviction,NA,I got angry when people did not take my health problems seriously.,HiTOP_474
138,FALSE,Internalizing,Fear,Hypervigilance,NA,I was concerned that other persons might bring me harm.,HiTOP_54
139,FALSE,Externalizing,Disinhibition,Restlessness,NA,I had trouble sitting still.,HiTOP_310
140,FALSE,Externalizing,Anankastia,Workaholism,NA,"Even on days off, I found myself thinking about work.",Ext_278
141,FALSE,Externalizing,Anankastia,Risk Aversion,NA,I avoided taking risks at all costs.,HiTOP_39
142,FALSE,Internalizing,Fear,Trauma Reactions,NA,I avoided people who might bring back bad memories.,HiTOP_365
143,FALSE,Externalizing,Anankastia,Workaholism,NA,My work success was the most valuable aspect of my life.,Ext_397
144,FALSE,Internalizing,Eating Pathology,Appetite Loss,NA,My appetite was poor.,HiTOP_197
145,FALSE,Detachment,NA,Well-being,NA,I felt optimistic.,HiTOP_393
146,FALSE,Internalizing,Fear,Counting,NA,I counted things over and over again.,HiTOP_235
147,FALSE,Externalizing,Antagonism,Grandiosity,NA,I enjoyed looking in the mirror.,Ext_43
148,FALSE,Externalizing,Antagonism,Social Aggression,NA,I mocked people.,Ext_171
149,FALSE,Externalizing,Disinhibition,Restlessness,NA,I had a hard time staying in my seat when I was supposed to be seated.,Ext_352
150,FALSE,Externalizing,Antisocial,Oppositionality,NA,I didn't care whether my behavior was considered proper or not.,Ext_310
151,FALSE,Internalizing,Sexual Problems,Difficulties Reaching Orgasm,NA,I found it difficult to reach orgasm.,HiTOP_442
152,FALSE,Detachment,NA,Romantic Disinterest,NA,I had no interest in romantic relationships.,HiTOP_625
153,FALSE,Internalizing,Sexual Problems,Sex-Related Substance Use,NA,I used substances to reduce anxiety during sexual activity.,HiTOP_424
154,FALSE,Thought Disorder,NA,Fantasy Proneness,NA,I lost myself in a fictional character.,HiTOP_588
155,FALSE,Internalizing,Fear,Cleaning,NA,I was obsessed with cleanliness.,HiTOP_226
156,FALSE,Externalizing,Antisocial,Antisocial Behavior,NA,"I threatened someone with a weapon like a bat, brick, knife, or gun.",Ext_488
157,FALSE,Internalizing,Distress,Suicidality,NA,I tried to kill myself.,HiTOP_361
158,FALSE,Externalizing,Anankastia,Hyperdeliberation,NA,Major decisions took months of careful consideration to arrive at a choice.,Ext_291
159,FALSE,Externalizing,Disinhibition,Non-persistence,NA,"I quit working (my job, homework, or housework) before I was finished.",Ext_11
160,FALSE,Externalizing,Antagonism,Exhibitionism,NA,I did things to get others to notice me.,HiTOP_577
161,FALSE,Internalizing,Fear,Specific Phobia Index,Situational Phobias,I became very anxious during a storm.,HiTOP_341
162,FALSE,Externalizing,Antagonism,Exhibitionism,NA,I enjoyed being the center of attention.,HiTOP_16
163,FALSE,Externalizing,Disinhibition,Problematic Shopping,NA,I spent more money shopping than I could afford.,Ext_407
164,FALSE,Detachment,NA,Submissiveness,NA,I had trouble standing up for myself.,exp27
165,FALSE,Thought Disorder,NA,Reality Distortion,Delusions,Special messages were written in papers or announced on TV just for me.,HiTOP_533
166,FALSE,Externalizing,Antagonism,Domineering,NA,Things went best when I told others what to do.,HiTOP_21
167,FALSE,Externalizing,Antisocial,Antisocial Behavior,NA,I forged checks or used other people's credit cards without permission.,Ext_308
168,FALSE,Thought Disorder,NA,Dissociation,NA,I felt that things around me were not real.,HiTOP_554
169,FALSE,Externalizing,Antagonism,Grandiosity,NA,I recognized that I had a lot of special qualities.,Ext_380
170,FALSE,Internalizing,Distress,Distress-Dysphoria,Depressed Mood,I felt worthless.,exp14
171,FALSE,Somatoform,NA,Somatic Preoccupation,NA,I noticed small changes to how my body feels.,HiTOP_492
172,FALSE,Externalizing,Anankastia,Hyperdeliberation,NA,I made decisions only after I had all the information I could get.,Ext_35
173,FALSE,Internalizing,Fear,Specific Phobia Index,Situational Phobias,I was afraid of heights.,HiTOP_340
174,FALSE,Externalizing,Antagonism,Social Aggression,NA,I spread rumors about other people.,Ext_67
175,FALSE,Externalizing,Antagonism,Dishonesty,Manipulativeness,I tried to con or cheat other people.,Ext_101
176,FALSE,Thought Disorder,NA,Dissociation,NA,I had the experience that everything suddenly seemed unfamiliar and I forgot where I was.,HiTOP_469
177,FALSE,Externalizing,Disinhibition,Gaming,NA,"I kept gaming, even though it caused problems at work or school.",Ext_135
178,FALSE,Internalizing-Thought Disorder,NA,Manic Energy,NA,I felt like I could go for days without sleeping.,HiTOP_262
179,FALSE,Externalizing,Anankastia,Workaholism,NA,I was something of a workaholic.,Ext_131
180,FALSE,Internalizing,Sexual Problems,Risky Sex,NA,I engaged in sexual activities that I later regretted.,Ext_114
181,FALSE,Thought Disorder,NA,Mistrust,Cynicism,"I believed that if you are not careful, other people will take advantage of you.",Ext_448
182,FALSE,Externalizing,Antagonism,Grandiosity,NA,I enjoyed thinking about my future and the great things it would bring.,Ext_41
183,FALSE,Internalizing,Sexual Problems,Paraphilias,NA,"I found watching unsuspecting people who were naked, masturbating, or having sex sexually arousing.",HiTOP_407
184,FALSE,Externalizing,Disinhibition,Problematic Shopping,NA,I found it hard to resist the urge to shop.,Ext_238
185,FALSE,Externalizing,Antisocial,Antisocial Behavior,NA,I vandalized or defaced public property.,Ext_154
186,FALSE,Detachment,NA,Well-being,NA,I was proud of myself.,HiTOP_389
187,FALSE,Detachment,NA,Romantic Disinterest,NA,I found romantic relationships to be tiresome.,HiTOP_42
188,FALSE,Internalizing,Eating Pathology,Purging,NA,"I considered using syrup of ipecac, enemas, or suppositories to lose weight.",HiTOP_155
189,FALSE,Externalizing,Antagonism,Entitlement,NA,My needs and wants came first.,Ext_216
190,FALSE,Externalizing,Anankastia,Risk Aversion,NA,I went out of my way to avoid risks.,Ext_165
191,FALSE,Somatoform,NA,Somatic Preoccupation,NA,I paid close attention to how my body feels.,HiTOP_491
192,FALSE,Internalizing,Fear,Trichotillomania,NA,I pulled out hairs that were a different color or texture.,HiTOP_384
193,FALSE,Thought Disorder,NA,Fantasy Proneness,NA,My mind wandered far away from the present.,HiTOP_585
194,FALSE,Internalizing,Distress,Distress-Dysphoria,Anxious Worry,I was overwhelmed by anxiety.,HiTOP_187
195,FALSE,Externalizing,Anankastia,Perfectionism,NA,People told me that I was too perfectionistic.,Ext_104
196,FALSE,Externalizing,Disinhibition,Gambling,NA,I bet more money than I could really afford to lose.,Ext_261
197,FALSE,Internalizing,Eating Pathology,Dietary Restraint,NA,I focused on eating more healthy foods.,HiTOP_111
198,FALSE,Somatoform,NA,Conversion Symptoms,NA,I experienced sudden muscle weakness or paralysis.,HiTOP_462
199,FALSE,Internalizing,Fear,Counting,NA,I felt compelled to count things.,HiTOP_233
200,FALSE,Internalizing,Distress,Emotionality,Affective Lability,My mood changed suddenly for no good reason.,HiTOP_571
201,FALSE,Internalizing,Eating Pathology,Body Focus,NA,I paid a lot of attention to how I look.,HiTOP_212
202,FALSE,Internalizing,Eating Pathology,Appetite Loss,NA,I lost a significant amount of weight without even trying.,HiTOP_198
