PID5,PID5FSF,PID5BF,Reverse,INC,ORS,PRD,SDTD,Facet
1,,,FALSE,,,,,Anhedonia
2,1,,FALSE,,1,1,1,Suspiciousness
3,,1,FALSE,,,,,Risk Taking
4,2,2,FALSE,,,,2,Impulsivity
5,,,FALSE,,,,,Eccentricity
6,,,FALSE,,,,,Distractibility
7,,,TRUE,,,,,Risk Taking
8,,,FALSE,,2,,,Restricted Affectivity
9,3,,FALSE,,,,,Submissiveness
10,,,FALSE,,,,,Withdrawal
11,,,FALSE,,,2,,Callousness
12,,,FALSE,,,,,Separation Insecurity
13,,,FALSE,,,,,Callousness
14,,,FALSE,,,,,Attention Seeking
15,4,,FALSE,,,,,Submissiveness
16,5,,FALSE,,,,,Impulsivity
17,6,3,FALSE,,,,,Impulsivity
18,,,FALSE,,,,3,Emotional Lability
19,7,,FALSE,,,,,Callousness
20,,,FALSE,,,,,Withdrawal
21,,,FALSE,16,,,,Eccentricity
22,8,,FALSE,,,,,Impulsivity
23,9,,FALSE,,,,4,Anhedonia
24,,,FALSE,17,,,,Eccentricity
25,10,,FALSE,17,,,,Eccentricity
26,11,,FALSE,,,,,Anhedonia
27,,4,FALSE,,,,,Depressivity
28,,,FALSE,,,,,Hostility
29,,,FALSE,,,,,Distractibility
30,,,TRUE,,,,5,Anhedonia
31,,5,FALSE,,,,,Irresponsibility
32,,,FALSE,,,,,Hostility
33,,,FALSE,,,,,Eccentricity
34,,,FALSE,,,,,Rigid Perfectionism
35,,,TRUE,,,,,Risk Taking
36,,,FALSE,,,3,,Perceptual Dysregulation
37,,,FALSE,,,,,Perceptual Dysregulation
38,12,,FALSE,6,,4,6,Hostility
39,13,,FALSE,,3,,,Risk Taking
40,14,,FALSE,,4,,,Grandiosity
41,,,FALSE,,,,,Deceitfulness
42,,,FALSE,,,5,,Perceptual Dysregulation
43,,,FALSE,,,,,Attention Seeking
44,15,,FALSE,,5,,,Perceptual Dysregulation
45,,,FALSE,,,,,Restricted Affectivity
46,,,FALSE,,,,,Perseveration
47,,6,FALSE,,,6,,Distractibility
48,16,,FALSE,,,,,Risk Taking
49,,,FALSE,,,,,Rigid Perfectionism
50,17,,FALSE,9,,,7,Separation Insecurity
51,,,FALSE,,,,,Perseveration
52,,7,FALSE,18,,,8,Eccentricity
53,18,,FALSE,,,,,Deceitfulness
54,,,FALSE,,,,,Callousness
55,,,FALSE,16,,,,Eccentricity
56,,,FALSE,,,,,Deceitfulness
57,,,FALSE,,,,9,Separation Insecurity
58,,,TRUE,,,,,Impulsivity
59,,,FALSE,,,,,Perceptual Dysregulation
60,19,,FALSE,,,,,Perseveration
61,,,FALSE,,,,,Depressivity
62,,,FALSE,,,,,Emotional Lability
63,20,,FALSE,,,,,Submissiveness
64,,,FALSE,,,,,Separation Insecurity
65,,,FALSE,,,,,Grandiosity
66,,,FALSE,,,,10,Depressivity
67,21,,FALSE,,,,,Risk Taking
68,,,FALSE,,,,11,Distractibility
69,,,FALSE,,,,,Risk Taking
70,22,,FALSE,19,,,,Eccentricity
71,,,FALSE,19,,,,Eccentricity
72,,,FALSE,,,,,Callousness
73,,,FALSE,,,,,Callousness
74,23,,FALSE,10,,,,Attention Seeking
75,,,FALSE,,,,,Withdrawal
76,,,FALSE,,,,,Deceitfulness
77,,,FALSE,,,,,Perceptual Dysregulation
78,,,FALSE,,,,,Perseveration
79,24,,FALSE,1,,,,Anxiousness
80,25,,FALSE,7,,,12,Perseveration
81,26,,FALSE,,,,,Depressivity
82,27,,FALSE,,,,13,Withdrawal
83,,,FALSE,,,,,Perceptual Dysregulation
84,28,,FALSE,,,,,Restricted Affectivity
85,,,FALSE,,,,,Hostility
86,,,FALSE,,,,,Depressivity
87,,,TRUE,,,,,Risk Taking
88,,,FALSE,,,,14,Distractibility
89,29,,FALSE,14,,,,Intimacy Avoidance
90,,,TRUE,,,,,Callousness
91,30,,FALSE,,,,,Restricted Affectivity
92,31,,FALSE,6,,,,Hostility
93,,,FALSE,,,,15,Anxiousness
94,,,FALSE,,,,,Unusual Beliefs & Experiences
95,,,FALSE,,,,,Anxiousness
96,,,TRUE,,,7,,Anxiousness
97,,,TRUE,,,,,Intimacy Avoidance
98,,,TRUE,,,8,,Risk Taking
99,,,FALSE,,,,,Unusual Beliefs & Experiences
100,32,,FALSE,,,,,Perseveration
101,,,FALSE,,,,,Restricted Affectivity
102,,,FALSE,4,,,,Emotional Lability
103,,,FALSE,,,,,Suspiciousness
104,,,FALSE,,,,,Depressivity
105,33,,FALSE,8,,,,Rigid Perfectionism
106,34,,FALSE,,,9,,Unusual Beliefs & Experiences
107,35,,FALSE,,,,,Manipulativeness
108,,,FALSE,,,,,Intimacy Avoidance
109,36,,FALSE,2,,,,Anxiousness
110,,8,FALSE,2,,,,Anxiousness
111,,,FALSE,,,,,Attention Seeking
112,,,FALSE,,,,,Risk Taking
113,,,FALSE,,,,,Attention Seeking
114,37,,FALSE,,,,,Grandiosity
115,,,FALSE,,,,,Rigid Perfectionism
116,,,FALSE,,,,,Hostility
117,38,,FALSE,,,,,Suspiciousness
118,39,,FALSE,,,,,Distractibility
119,,,FALSE,,,10,,Depressivity
120,40,,FALSE,,,,,Intimacy Avoidance
121,,,FALSE,,,,,Perseveration
122,41,9,FALSE,4,,11,,Emotional Lability
123,42,,FALSE,8,,,,Rigid Perfectionism
124,43,,FALSE,,,,,Anhedonia
125,44,,FALSE,13,,,,Manipulativeness
126,,,FALSE,,,,,Deceitfulness
127,45,10,FALSE,9,,,,Separation Insecurity
128,46,11,FALSE,7,,,,Perseveration
129,47,,FALSE,,,,,Irresponsibility
130,48,,FALSE,,,,,Anxiousness
131,,,TRUE,,,,,Suspiciousness
132,49,,FALSE,15,,,,Distractibility
133,50,,FALSE,,,,,Suspiciousness
134,51,,FALSE,,,,,Deceitfulness
135,,,FALSE,,,,,Rigid Perfectionism
136,52,,FALSE,,,12,,Withdrawal
137,,,FALSE,,,,,Perseveration
138,53,,FALSE,5,,,,Emotional Lability
139,54,12,FALSE,,,,,Unusual Beliefs & Experiences
140,,,FALSE,,,,,Rigid Perfectionism
141,,,FALSE,,,,,Anxiousness
142,,,TRUE,,,,,Deceitfulness
143,,,FALSE,,,,,Unusual Beliefs & Experiences
144,55,,FALSE,15,,,,Distractibility
145,56,13,FALSE,14,,,,Intimacy Avoidance
146,57,14,FALSE,,,,,Withdrawal
147,,,FALSE,,,,,Withdrawal
148,,,FALSE,3,,13,,Depressivity
149,58,,FALSE,,,,,Separation Insecurity
150,59,,FALSE,,6,,,Unusual Beliefs & Experiences
151,60,,FALSE,,,,,Depressivity
152,61,,FALSE,18,,,,Eccentricity
153,62,,FALSE,12,,,,Callousness
154,63,,FALSE,,,14,,Perceptual Dysregulation
155,,,TRUE,,,,,Anhedonia
156,64,,FALSE,,,,,Irresponsibility
157,65,,FALSE,,,,,Anhedonia
158,66,15,FALSE,,,,,Hostility
159,67,,FALSE,,,,,Risk Taking
160,68,,FALSE,,,,,Irresponsibility
161,,16,FALSE,,,,,Withdrawal
162,69,,FALSE,,,15,,Manipulativeness
163,70,,FALSE,,,16,,Depressivity
164,,,TRUE,,,,,Risk Taking
165,71,,FALSE,,,,,Emotional Lability
166,72,17,FALSE,12,7,,,Callousness
167,73,,FALSE,,,,,Restricted Affectivity
168,,,FALSE,,,17,,Depressivity
169,74,,FALSE,3,,18,,Depressivity
170,75,,FALSE,,8,,,Hostility
171,76,,FALSE,,9,,,Irresponsibility
172,,,FALSE,20,,,,Eccentricity
173,77,,FALSE,10,,,,Attention Seeking
174,78,,FALSE,1,,,,Anxiousness
175,79,,FALSE,,,,,Separation Insecurity
176,80,,FALSE,,,,,Rigid Perfectionism
177,,,TRUE,,,,,Suspiciousness
178,,,FALSE,,10,,,Depressivity
179,,,FALSE,,,,,Grandiosity
180,,,FALSE,13,,,,Manipulativeness
181,81,,FALSE,5,,,,Emotional Lability
182,,,FALSE,,,,,Withdrawal
183,82,,FALSE,,,19,,Callousness
184,83,,FALSE,,,,,Restricted Affectivity
185,,,FALSE,20,,,,Eccentricity
186,84,,FALSE,,,,,Withdrawal
187,85,,FALSE,,,,,Grandiosity
188,,,FALSE,,,,,Hostility
189,,18,FALSE,,,,,Anhedonia
190,86,,FALSE,,,,,Suspiciousness
191,87,19,FALSE,11,,,,Attention Seeking
192,88,,FALSE,,,20,,Perceptual Dysregulation
193,,,FALSE,,,,16,Perceptual Dysregulation
194,,,FALSE,,,,,Unusual Beliefs & Experiences
195,,,FALSE,,,,,Risk Taking
196,89,,FALSE,,,,,Rigid Perfectionism
197,90,20,FALSE,,,,,Grandiosity
198,,,FALSE,,,21,,Callousness
199,91,,FALSE,,,22,,Distractibility
200,,,FALSE,,,,,Callousness
201,,,FALSE,,,,,Irresponsibility
202,92,,FALSE,,,,,Submissiveness
203,93,,FALSE,,,,,Intimacy Avoidance
204,,,FALSE,,,,,Impulsivity
205,94,21,FALSE,,,,,Eccentricity
206,95,22,FALSE,,,,,Deceitfulness
207,,,FALSE,,,,,Callousness
208,,,FALSE,,,,,Callousness
209,96,,FALSE,,,,17,Unusual Beliefs & Experiences
210,,,TRUE,,,,,Irresponsibility
211,97,,FALSE,11,,,,Attention Seeking
212,,,FALSE,,,,,Depressivity
213,,23,FALSE,,,,,Perceptual Dysregulation
214,,,FALSE,,,,,Deceitfulness
215,,,TRUE,,,,,Risk Taking
216,,,FALSE,,,,,Hostility
217,98,24,FALSE,,,,,Perceptual Dysregulation
218,99,,FALSE,,,,,Deceitfulness
219,100,25,FALSE,,,,,Manipulativeness
220,,,FALSE,,,,,Rigid Perfectionism
